oln_id_a	oln_id_b	edge_type
YAL041W	YGL255W	genetic_interaction
YAL041W	YGL029W	genetic_interaction
YAL041W	YGR101W	genetic_interaction
YAL041W	YHR178W	genetic_interaction
YAL041W	YJL186W	genetic_interaction
YAL041W	YKL171W	genetic_interaction
YAL041W	YKL081W	genetic_interaction
YAL041W	YLL047W	genetic_interaction
YAL041W	YLR039C	genetic_interaction
YAL041W	YLR089C	genetic_interaction
YAL041W	YLR107W	genetic_interaction
YAL041W	YLR205C	genetic_interaction
YAL041W	YLR313C	genetic_interaction
YAL041W	YML001W	genetic_interaction
YAL041W	YMR030W	genetic_interaction
YAL041W	YNR007C	genetic_interaction
YAL041W	YOL014W	genetic_interaction
YAL041W	YOL001W	genetic_interaction
YAL041W	YOR101W	genetic_interaction
YAL041W	YPL262W	genetic_interaction
YAL041W	YBR238C	genetic_interaction
YAL041W	YBR274W	genetic_interaction
YAL041W	YBR294W	genetic_interaction
YAL041W	YDL240W	genetic_interaction
YAL041W	YDL191W	genetic_interaction
YAL041W	YDL104C	genetic_interaction
YAL041W	YDL085W	genetic_interaction
YAL041W	YDR094W	genetic_interaction
YAL041W	YDR099W	genetic_interaction
YAL041W	YDR262W	genetic_interaction
YAL041W	YDR287W	genetic_interaction
YAL041W	YDR392W	genetic_interaction
YAL041W	YDR403W	genetic_interaction
YAL041W	YDR520C	genetic_interaction
YAL041W	YER048C	genetic_interaction
YAL041W	YER093C-A	genetic_interaction
YAL041W	YFL036W	genetic_interaction
YAL041W	YFR023W	genetic_interaction
YAL041W	YFR038W	genetic_interaction
YAL041W	YFR049W	genetic_interaction
YAL041W	YGL253W	genetic_interaction
YAL041W	YGL252C	genetic_interaction
YAL041W	YGL194C	genetic_interaction
YAL041W	YGL114W	genetic_interaction
YAL041W	YGL084C	genetic_interaction
YAL041W	YGL031C	genetic_interaction
YAL041W	YGR096W	genetic_interaction
YAL041W	YGR231C	genetic_interaction
YAL041W	YGR256W	genetic_interaction
YAL041W	YGR266W	genetic_interaction
YAL041W	YGR270W	genetic_interaction
YAL041W	YHR034C	genetic_interaction
YAL041W	YHR059W	genetic_interaction
YAL041W	YHR143W	genetic_interaction
YAL041W	YHR163W	genetic_interaction
YAL041W	YHR200W	genetic_interaction
YAL041W	YIL040W	genetic_interaction
YAL041W	YLR056W	genetic_interaction
YAL041W	YLR061W	genetic_interaction
YAL041W	YOL004W	genetic_interaction
YAL041W	YPL226W	genetic_interaction
YAL041W	YPR024W	genetic_interaction
YAL041W	YDR149C	genetic_interaction
YAL041W	YDR309C	genetic_interaction
YAL041W	YER111C	genetic_interaction
YAL041W	YER149C	genetic_interaction
YAL041W	YGL252C	genetic_interaction
YAL041W	YGL173C	genetic_interaction
YAL041W	YGR151C	genetic_interaction
YAL041W	YGR152C	genetic_interaction
YAL041W	YHR129C	genetic_interaction
YAL041W	YJL187C	genetic_interaction
YAL041W	YJL183W	genetic_interaction
YAL041W	YJR087W	genetic_interaction
YAL041W	YKL007W	genetic_interaction
YAL041W	YKR054C	genetic_interaction
YAL041W	YLR056W	genetic_interaction
YAL041W	YLR319C	genetic_interaction
YAL041W	YMR202W	genetic_interaction
YAL041W	YNL079C	genetic_interaction
YAL041W	YOR123C	genetic_interaction
YAL041W	YPL161C	genetic_interaction
YAL041W	YPR070W	genetic_interaction
YAL038W	YBR125C	genetic_interaction
YAL038W	YCL026C	genetic_interaction
YAL038W	YDR126W	genetic_interaction
YAL038W	YDR127W	genetic_interaction
YAL038W	YDR148C	genetic_interaction
YAL038W	YER052C	genetic_interaction
YAL038W	YGL237C	genetic_interaction
YAL038W	YGL080W	genetic_interaction
YAL038W	YIL154C	genetic_interaction
YAL038W	YIL153W	genetic_interaction
YAL038W	YJR044C	genetic_interaction
YAL038W	YKR050W	genetic_interaction
YAL038W	YLR056W	genetic_interaction
YAL038W	YLR410W	genetic_interaction
YAL038W	YLR414C	genetic_interaction
YAL038W	YML097C	genetic_interaction
YAL038W	YMR192W	genetic_interaction
YAL038W	YMR282C	genetic_interaction
YAL038W	YOR135C	genetic_interaction
YAL038W	YOR327C	genetic_interaction
YAL038W	YPR057W	genetic_interaction
YAL038W	YPR060C	genetic_interaction
YAL038W	YPR096C	genetic_interaction
YAL034W-A	YAL055W	genetic_interaction
YAL034W-A	YAL010C	genetic_interaction
YAL034W-A	YAR003W	genetic_interaction
YAL034W-A	YBR030W	genetic_interaction
YAL034W-A	YBR103W	genetic_interaction
YAL034W-A	YBR132C	genetic_interaction
YAL034W-A	YCR033W	genetic_interaction
YAL034W-A	YCR063W	genetic_interaction
YAL034W-A	YDL226C	genetic_interaction
YAL034W-A	YDL142C	genetic_interaction
YAL034W-A	YDL117W	genetic_interaction
YAL034W-A	YDR252W	genetic_interaction
YAL034W-A	YDR265W	genetic_interaction
YAL034W-A	YDR289C	genetic_interaction
YAL034W-A	YER048C	genetic_interaction
YAL034W-A	YER155C	genetic_interaction
YAL034W-A	YFL010W-A	genetic_interaction
YAL034W-A	YGL257C	genetic_interaction
YAL034W-A	YGL194C	genetic_interaction
YAL034W-A	YGL180W	genetic_interaction
YAL034W-A	YGL151W	genetic_interaction
YAL034W-A	YGR097W	genetic_interaction
YAL034W-A	YGR143W	genetic_interaction
YAL034W-A	YGR157W	genetic_interaction
YAL034W-A	YGR292W	genetic_interaction
YAL034W-A	YIL134W	genetic_interaction
YAL034W-A	YIL090W	genetic_interaction
YAL034W-A	YIL040W	genetic_interaction
YAL034W-A	YJL177W	genetic_interaction
YAL034W-A	YJL107C	genetic_interaction
YAL034W-A	YJL070C	genetic_interaction
YAL034W-A	YJR011C	genetic_interaction
YAL034W-A	YJR074W	genetic_interaction
YAL034W-A	YKL053C-A	genetic_interaction
YAL034W-A	YLR112W	genetic_interaction
YAL034W-A	YLR131C	genetic_interaction
YAL034W-A	YLR193C	genetic_interaction
YAL034W-A	YLR217W	genetic_interaction
YAL034W-A	YLR251W	genetic_interaction
YAL034W-A	YLR448W	genetic_interaction
YAL034W-A	YML103C	genetic_interaction
YAL034W-A	YML066C	genetic_interaction
YAL034W-A	YNL080C	genetic_interaction
YAL034W-A	YOL050C	genetic_interaction
YAL034W-A	YOL042W	genetic_interaction
YAL034W-A	YOR017W	genetic_interaction
YAL034W-A	YOR053W	genetic_interaction
YAL034W-A	YOR106W	genetic_interaction
YAL034W-A	YOR127W	genetic_interaction
YAL034W-A	YOR276W	genetic_interaction
YAL034W-A	YPL270W	genetic_interaction
YAL034W-A	YPR011C	genetic_interaction
YAL034W-A	YPR061C	genetic_interaction
YAL034W-A	YPR071W	genetic_interaction
YAL034W-A	YPR179C	genetic_interaction
YAL030W	YBR076W	genetic_interaction
YAL030W	YDL117W	genetic_interaction
YAL030W	YDR126W	genetic_interaction
YAL030W	YIR016W	genetic_interaction
YAL030W	YOR327C	genetic_interaction
YAL025C	YBL072C	genetic_interaction
YAL025C	YBR126C	genetic_interaction
YAL025C	YBR181C	genetic_interaction
YAL025C	YBR200W	genetic_interaction
YAL025C	YCR028C-A	genetic_interaction
YAL025C	YDL083C	genetic_interaction
YAL025C	YDL062W	genetic_interaction
YAL025C	YDR001C	genetic_interaction
YAL025C	YDR080W	genetic_interaction
YAL025C	YDR083W	genetic_interaction
YAL025C	YDR315C	genetic_interaction
YAL025C	YGL218W	genetic_interaction
YAL025C	YGL045W	genetic_interaction
YAL025C	YGL007W	genetic_interaction
YAL025C	YHL027W	genetic_interaction
YAL025C	YJL154C	genetic_interaction
YAL025C	YJR077C	genetic_interaction
YAL025C	YJR087W	genetic_interaction
YAL025C	YKL081W	genetic_interaction
YAL025C	YKL055C	genetic_interaction
YAL025C	YKL048C	genetic_interaction
YAL020C	YOR197W	genetic_interaction
YAL025C	YLL039C	genetic_interaction
YAL025C	YLR119W	genetic_interaction
YAL025C	YLR251W	genetic_interaction
YAL025C	YLR264W	genetic_interaction
YAL025C	YLR290C	genetic_interaction
YAL025C	YLR371W	genetic_interaction
YAL025C	YLR393W	genetic_interaction
YAL025C	YML063W	genetic_interaction
YAL025C	YMR041C	genetic_interaction
YAL025C	YMR063W	genetic_interaction
YAL025C	YMR154C	genetic_interaction
YAL025C	YNL141W	genetic_interaction
YAL025C	YNL130C	genetic_interaction
YAL025C	YOL041C	genetic_interaction
YAL025C	YOL006C	genetic_interaction
YAL025C	YOR030W	genetic_interaction
YAL025C	YPL205C	genetic_interaction
YAL025C	YPL172C	genetic_interaction
YAL025C	YPL161C	genetic_interaction
YAL025C	YPL069C	genetic_interaction
YAL025C	YPL055C	genetic_interaction
YAL025C	YPL036W	genetic_interaction
YAL021C	YDL062W	genetic_interaction
YAL021C	YDR123C	genetic_interaction
YAL021C	YIL090W	genetic_interaction
YAL021C	YOL009C	genetic_interaction
YAL021C	YBR131W	genetic_interaction
YAL021C	YBR231C	genetic_interaction
YAL021C	YBR288C	genetic_interaction
YAL021C	YCR062W	genetic_interaction
YAL021C	YDL226C	genetic_interaction
